15/03/2023
15:15:55 Ligou CLP
15:26:30 Ligou CLP
16:46:37 sensorMaquinaTravada=1 (ant=0)
16:46:42 sensorFimDosagem=0 (ant=1)
16:46:52 sensorPassagemParaRecalque=1 (ant=0)
16:46:58 sensorPassagemParaRecalque=0 (ant=1)
16:47:00 sensorFimDosagem=1 (ant=0)
16:47:06 sensorMaquinaTravada=0 (ant=1)
16:47:07 sensorAmortecimentoFechamento=0 (ant=1)
16:47:09 sensorProtecaoMolde=0 (ant=1)
16:47:13 sensorProtecaoMolde=1 (ant=0)
16:47:15 sensorProtecaoMolde=0 (ant=1)
16:47:17 sensorAmortecimentoAbertura=1 (ant=0)
16:47:20 sensorMoldeAberto=1 (ant=0)
16:47:34 sensorAmortecimentoAbertura=0 (ant=1)
16:47:35 sensorMoldeAberto=0 (ant=1)
16:47:41 sensorAmortecimentoFechamento=1 (ant=0)
16:47:42 sensorProtecaoMolde=1 (ant=0)
16:47:44 sensorMaquinaTravada=1 (ant=0)
16:47:47 sensorFimDosagem=0 (ant=1)
16:47:49 sensorPassagemParaRecalque=1 (ant=0)
16:47:55 sensorPassagemParaRecalque=0 (ant=1)
16:47:57 sensorFimDosagem=1 (ant=0)
16:48:00 sensorMaquinaTravada=0 (ant=1)
16:48:01 sensorAmortecimentoFechamento=0 (ant=1)
16:48:02 sensorProtecaoMolde=0 (ant=1)
16:48:05 sensorAmortecimentoAbertura=1 (ant=0)
16:48:12 sensorMoldeAberto=1 (ant=0)
16:49:31 Ligou CLP
16:49:31 Ativou Alarme Motor desligado
16:49:34 Desativou Alarme Motor desligado
16:49:36 sensorProtetorDiantFechado=1 (ant=0)
16:49:39 sensorFimDosagem=1 (ant=0)
16:49:43 senhaCorrente=****
16:49:57 habPassagemParaRecalquePorTempo=1 (ant=0)
16:50:08 sensorAmortecimentoFechamento=1 (ant=0)
16:50:09 sensorProtecaoMolde=1 (ant=0)
16:50:14 sensorMaquinaTravada=1 (ant=0)
16:50:20 sensorFimDosagem=0 (ant=1)
16:50:40 sensorMaquinaTravada=0 (ant=1)
16:50:41 sensorAmortecimentoFechamento=0 (ant=1)
16:50:41 sensorProtecaoMolde=0 (ant=1)
16:50:43 sensorAmortecimentoAbertura=1 (ant=0)
16:50:43 sensorMoldeAberto=1 (ant=0)
16:50:46 sensorMoldeAberto=0 (ant=1)
16:50:46 sensorAmortecimentoAbertura=0 (ant=1)
16:50:50 sensorAmortecimentoFechamento=1 (ant=0)
16:51:02 sensorFimDosagem=1 (ant=0)
16:51:16 sensorProtecaoMolde=1 (ant=0)
16:51:19 sensorMaquinaTravada=1 (ant=0)
16:51:57 durPreenchimento=500 (ant=300)
16:51:59 sensorMaquinaTravada=0 (ant=1)
16:52:00 sensorAmortecimentoFechamento=0 (ant=1)
16:52:00 sensorProtecaoMolde=0 (ant=1)
16:52:06 sensorAmortecimentoAbertura=1 (ant=0)
16:52:07 sensorMoldeAberto=1 (ant=0)
16:52:11 sensorMoldeAberto=0 (ant=1)
16:52:12 sensorAmortecimentoAbertura=0 (ant=1)
16:52:14 sensorAmortecimentoFechamento=1 (ant=0)
16:52:16 sensorProtecaoMolde=1 (ant=0)
16:52:19 sensorMaquinaTravada=1 (ant=0)
16:52:21 sensorFimDosagem=0 (ant=1)
16:52:32 sensorFimDosagem=1 (ant=0)
16:53:09 Ligou CLP
16:53:09 Ativou Alarme Motor desligado
16:53:13 senhaCorrente=****
16:53:15 Desativou Alarme Motor desligado
16:53:18 sensorProtetorDiantFechado=1 (ant=0)
16:53:33 durIntrusao=500 (ant=0)
16:53:34 habPassagemParaRecalquePorTempo=0 (ant=1)
16:53:41 sensorFimDosagem=1 (ant=0)
16:53:53 sensorAmortecimentoFechamento=1 (ant=0)
16:53:56 sensorProtecaoMolde=1 (ant=0)
16:53:59 sensorMaquinaTravada=1 (ant=0)
16:54:14 sensorFimDosagem=0 (ant=1)
16:54:17 sensorPassagemParaRecalque=1 (ant=0)
16:54:24 sensorPassagemParaRecalque=0 (ant=1)
16:54:26 sensorFimDosagem=1 (ant=0)
16:54:29 sensorMaquinaTravada=0 (ant=1)
16:54:29 sensorAmortecimentoFechamento=0 (ant=1)
16:54:30 sensorProtecaoMolde=0 (ant=1)
16:54:33 sensorAmortecimentoAbertura=1 (ant=0)
16:54:34 sensorMoldeAberto=1 (ant=0)
16:54:41 sensorAmortecimentoAbertura=0 (ant=1)
16:54:42 sensorMoldeAberto=0 (ant=1)
16:54:44 sensorAmortecimentoFechamento=1 (ant=0)
16:54:44 sensorProtecaoMolde=1 (ant=0)
16:54:47 sensorMaquinaTravada=1 (ant=0)
16:54:58 sensorPassagemParaRecalque=1 (ant=0)
16:59:52 Ligou CLP
16:59:53 Ativou Alarme Motor desligado
16:59:56 Desativou Alarme Motor desligado
17:00:03 sensorProtetorDiantFechado=1 (ant=0)
17:00:24 Ativou Alarme Completar curso de dosagem manualmente
17:00:27 Desativou Alarme Completar curso de dosagem manualmente
17:12:14 Ligou CLP
17:12:14 Ativou Alarme Motor desligado
17:12:16 Desativou Alarme Motor desligado
17:12:18 sensorProtetorDiantFechado=1 (ant=0)
17:12:20 sensorFimDosagem=1 (ant=0)
17:12:33 sensorAmortecimentoFechamento=1 (ant=0)
17:12:33 sensorProtecaoMolde=1 (ant=0)
17:12:36 sensorMaquinaTravada=1 (ant=0)
17:12:38 sensorMaquinaTravada=0 (ant=1)
17:12:41 Ativou Alarme Destravou fechamento do molde durante injecao
17:12:41 Ativou Alarme Molde nao fechado
